"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1114","test_login_success[chromium]","tests.e2e","Tue Apr 07 14:30:06 UTC 2026","passed","Tue Apr 07 14:30:07 UTC 2026","","test_auth","",""
"","3505","test_bi_flow[chromium]","tests.e2e","Tue Apr 07 14:30:09 UTC 2026","passed","Tue Apr 07 14:30:12 UTC 2026","","test_bi_module","",""
"","1776","test_admin_create_user[chromium]","tests.e2e","Tue Apr 07 14:30:04 UTC 2026","passed","Tue Apr 07 14:30:06 UTC 2026","","test_admin_users","",""
"Fluxo Crítico: Upload de XML e verificação de dados no dashboard.","1856","test_xml_import_flow_success[chromium]","tests.e2e","Tue Apr 07 14:30:12 UTC 2026","passed","Tue Apr 07 14:30:14 UTC 2026","","test_xml_import","",""
"","1796","test_full_admin_flow[chromium]","tests.e2e","Tue Apr 07 14:30:03 UTC 2026","passed","Tue Apr 07 14:30:04 UTC 2026","","test_admin","",""
"POST /login: Credenciais inválidas devem redirecionar para tela de erro.","2","test_api_login_failure","tests.api","Tue Apr 07 14:30:01 UTC 2026","passed","Tue Apr 07 14:30:01 UTC 2026","","test_auth","",""
"GET /admin/usuarios: Deve listar todos os usuários mockados.","5","test_api_list_users","tests.api","Tue Apr 07 14:30:01 UTC 2026","passed","Tue Apr 07 14:30:01 UTC 2026","","test_users","",""
"POST /admin/usuarios: Persistência de novo usuário via formulário.","3","test_api_create_user","tests.api","Tue Apr 07 14:30:01 UTC 2026","passed","Tue Apr 07 14:30:01 UTC 2026","","test_users","",""
"POST /login: Deve gerar set-cookie com access_token válido.","6","test_api_login_success","tests.api","Tue Apr 07 14:30:01 UTC 2026","passed","Tue Apr 07 14:30:01 UTC 2026","","test_auth","",""
"","1123","test_login_failure[chromium]","tests.e2e","Tue Apr 07 14:30:07 UTC 2026","passed","Tue Apr 07 14:30:09 UTC 2026","","test_auth","",""
"Valida se endpoints administrativos estão protegidos (Shift-Left Security).","2","test_api_unauthorized_access_to_users_list","tests.api","Tue Apr 07 14:30:01 UTC 2026","skipped","Tue Apr 07 14:30:01 UTC 2026","","test_users","",""
